PC1	PC2	PC3	PC4	PC5	PC6	PLATFORM	ETHNICITY
-0.0172	-0.0334	0.0233	0.0146	0.0035	0.0045	OMNI	1
-0.0224	-0.0286	0.0147	0.0012	0.0026	0.0047	OMNI	1
-0.0228	-0.0361	0.0385	0.0217	0.0022	0.0044	OMNI	1
-0.0096	-0.0355	0.0402	0.0178	0.0012	0	OMNI	1
-0.0044	-0.0142	0.0118	0.0047	0.0048	-0.0001	OMNI	1
0.0094	-0.007	-0.0034	-0.0043	-0.0065	-0.0061	OMNI	1
-0.0256	-0.038	0.0307	0.0151	-0.0038	-0.005	OMNI	1
-0.0011	-0.0092	-0.0057	-0.0119	-0.0055	-0.0019	OMNI	1
-0.017	-0.0417	0.0772	0.0366	0.0118	-0.0166	OMNI	1
-0.0134	-0.0153	0.0073	0.0029	0	0.006	OMNI	1
-0.0191	-0.0404	0.0364	0.0279	-0.0007	-0.006	OMNI	1
-0.0155	-0.0272	0.0189	-0.0068	-0.0026	-0.0098	OMNI	1
-0.0256	-0.0476	0.0382	0.0202	0.0067	-0.0095	OMNI	1
-0.0195	-0.0325	0.0173	0.0075	-0.0019	0.0067	OMNI	1
-0.0262	-0.0276	0.0228	0.007	-0.0007	0.0031	OMNI	1
-0.0207	-0.0392	0.0227	0.0051	0.0034	0.0101	OMNI	1
-0.0232	-0.0333	0.031	0.012	0.0056	-0.0045	OMNI	1
-0.0251	-0.0368	0.0323	0.0126	-0.0033	0.001	OMNI	1
-0.0192	-0.0379	0.0371	0.0147	0.0013	-0.006	OMNI	1
-0.0197	-0.0392	0.0364	0.0242	0.004	-0.0029	OMNI	1
-0.0274	-0.0669	0.0936	0.0501	0.0129	-0.0252	OMNI	1
-0.0052	-0.0204	0.0166	0.007	-0.0014	-0.0119	OMNI	1
-0.0311	0.0057	0	0.002	0.0114	0.0043	OMNI	1
-0.022	-0.0505	0.0477	0.0151	0.0075	0.0106	OMNI	1
0.0041	-0.0077	-0.006	-0.0033	0.0011	-0.0031	OMNI	1
-0.0178	-0.0393	0.0168	0.0076	0.0072	0.0002	OMNI	1
-0.0212	-0.0281	0.0129	-0.0055	0.0006	-0.0014	OMNI	1
-0.0179	-0.028	0.0064	-0.0038	-0.0011	0.0038	OMNI	1
-0.0178	-0.0506	0.0446	0.0197	-0.0051	-0.0113	OMNI	1
0.0225	-0.0056	0.0058	-0.0364	-0.0234	-0.0597	OMNI	1
-0.0243	-0.0414	0.0069	-0.0039	-0.0085	0.0359	OMNI	1
-0.0163	-0.0245	0.0089	0.0008	-0.008	-0.0138	OMNI	1
-0.005	-0.0149	0.0159	0.0097	0.0049	0.0016	OMNI	1
-0.0007	-0.0093	0.0183	0.0086	-0.008	0.0014	OMNI	1
0.0152	0.017	0.0013	0.0018	-0.0026	0.0016	OMNI	1
-0.0252	-0.0377	0.0483	0.0276	0.0026	-0.0068	OMNI	1
-0.0212	-0.0382	0.0314	0.0156	0.0019	-0.0079	OMNI	1
-0.0095	-0.0222	0.0206	0.0079	-0.0019	0.0015	OMNI	1
0.0231	-0.0058	0.0022	-0.0075	-0.018	-0.0353	OMNI	1
-0.0062	-0.025	0.013	0.0032	-0.0092	-0.0199	OMNI	1
-0.0144	-0.0326	0.0234	0.0102	0.0008	0.0042	OMNI	1
-0.0232	-0.0358	0.0269	0.0125	0.0005	-0.0084	OMNI	1
-0.0212	-0.0427	0.0359	0.0048	-0.0114	-0.0139	OMNI	1
-0.017	-0.0237	0.0078	-0.0107	-0.0146	-0.0288	OMNI	1
-0.0194	-0.0374	0.0332	0.0206	-0.0031	-0.0004	OMNI	1
-0.01	-0.0212	0.0193	0.0055	0.0017	-0.0039	OMNI	1
-0.0175	-0.0423	0.0374	0.0192	0.0019	-0.0023	OMNI	1
-0.0203	-0.0317	0.0241	0.0112	-0.0033	0.0045	OMNI	1
-0.021	-0.0425	0.0361	0.0222	-0.004	-0.0058	OMNI	1
-0.0203	-0.0357	0.0288	0.0143	-0.0003	0.0027	OMNI	1
-0.0501	0.0007	-0.0681	0.0755	-0.0325	-0.0079	OMNI	1
-0.0434	0.0009	-0.0799	0.0541	-0.0043	0.0096	OMNI	1
-0.0216	-0.0446	0.0471	0.0262	-0.0008	-0.0008	OMNI	1
-0.0016	-0.0112	0.0151	0.0096	0.0033	-0.0002	OMNI	1
-0.0134	-0.0363	0.0256	0.0148	0.0039	0.0007	OMNI	1
-0.0198	-0.035	0.0271	0.0148	0.007	-0.0051	OMNI	1
-0.0223	-0.0187	0.0165	0.0001	-0.0001	0.0022	OMNI	1
-0.0207	-0.0423	0.0394	0.0238	0.0014	-0.0194	OMNI	1
-0.0319	-0.0511	0.0366	0.0114	0.0034	-0.0023	OMNI	1
0.0094	-0.0119	0.0128	0.0064	-0.0051	0.0043	OMNI	1
0.0106	-0.0049	0.0218	0.0148	0.0029	0.0025	OMNI	1
-0.0233	-0.0309	0.0238	0.0031	0.0023	0.0004	OMNI	1
-0.0224	-0.0387	0.0244	0.0076	0.0017	-0.0034	OMNI	1
-0.0229	-0.0475	0.0342	0.0245	0.0175	0.0206	OMNI	1
-0.0175	-0.0442	0.0429	0.0205	-0.0023	-0.0061	OMNI	1
-0.0224	-0.0389	0.0412	0.0267	0.0059	-0.0055	OMNI	1
-0.0199	-0.0355	0.0365	0.0195	-0.0039	-0.0073	OMNI	1
-0.0179	-0.0469	0.0408	0.0207	-0.0003	-0.0082	OMNI	1
-0.0151	-0.0316	0.0285	0.0122	0.0016	-0.0023	OMNI	1
-0.0206	-0.0463	0.0379	0.0264	0.0009	-0.0041	OMNI	1
-0.0005	-0.0211	0.0184	0.005	0.0014	0.006	OMNI	1
-0.0102	-0.014	0.016	-0.0067	0.0046	0.0056	OMNI	1
-0.0188	-0.0385	0.0181	0.0152	-0.0021	-0.0024	OMNI	1
-0.0258	-0.0458	0.0261	0.0252	-0.0173	0.0318	OMNI	1
-0.0217	-0.0292	0.03	0.0131	0.0004	0.0058	OMNI	1
-0.0228	-0.0452	0.0427	0.0287	-0.002	-0.0037	OMNI	1
-0.0225	-0.0411	0.0399	0.0121	0.0057	0.0007	OMNI	1
-0.0162	-0.0352	0.0229	0.0067	0.0056	-0.0002	OMNI	1
-0.0207	-0.0431	0.0358	0.0145	0.0022	0.0079	OMNI	1
-0.0133	-0.0334	0.0309	0.0157	-0.0057	-0.0054	OMNI	1
-0.0186	-0.0339	0.0243	0.0131	-0.0017	-0.0001	OMNI	1
-0.029	-0.0393	0.0425	0.0221	0.0064	0.0041	OMNI	1
-0.0156	-0.0302	0.0221	0.0124	0.0013	-0.009	OMNI	1
-0.016	-0.0386	0.0454	0.0226	0.0041	-0.0065	OMNI	1
-0.0193	-0.0309	0.0286	0.0133	-0.0025	-0.0009	OMNI	1
-0.0235	-0.04	0.0376	0.017	0.0027	-0.0073	OMNI	1
0.0095	-0.0165	0.0324	0.0107	-0.0111	0.0149	OMNI	1
-0.0183	-0.0105	-0.0048	0.0138	-0.0079	-0.0048	OMNI	1
-0.0191	-0.0284	0.0211	0.0067	0.0077	0.0029	OMNI	1
-0.0162	-0.0376	0.0361	0.0193	0.002	0.001	OMNI	1
-0.0178	-0.0351	0.032	0.0111	-0.0058	-0.0077	OMNI	1
0.0231	0.0065	-0.0012	0.0037	-0.0014	-0.0014	OMNI	1
-0.0206	-0.0386	0.0292	0.0141	0.0041	-0.0056	OMNI	1
-0.0186	-0.0425	0.0388	0.0233	0.0029	-0.0088	OMNI	1
-0.0185	-0.0391	0.0375	0.018	0.0042	-0.0011	OMNI	1
-0.017	-0.0235	0.0123	-0.0008	0.0037	0.0015	OMNI	1
-0.0186	-0.0256	0.0211	0.0094	0.0024	0.0032	OMNI	1
-0.0233	-0.0353	0.0317	0.0177	0.0012	0.0042	OMNI	1
-0.0072	-0.0269	0.013	0.0029	0.005	0.0053	OMNI	1
-0.0199	-0.0373	0.0373	0.0106	-0.0017	0.0021	OMNI	1
-0.015	-0.0441	0.0417	0.016	0.0014	-0.0077	OMNI	1
-0.0165	-0.0352	0.0262	0.0084	0.0032	-0.002	OMNI	1
-0.0216	-0.0403	0.035	0.0201	0.0116	-0.0023	OMNI	1
-0.0183	-0.0249	0.0118	-0.004	-0.0053	-0.0135	OMNI	1
-0.021	-0.0263	0.0281	0.01	0.0027	0.0025	OMNI	1
-0.0082	-0.0225	0.0108	0.0128	-0.0003	0.0086	OMNI	1
-0.0161	-0.0188	0.0188	0.0028	-0.0035	-0.0072	OMNI	1
0.0248	0.0046	0.0025	0.0113	0.0022	-0.0032	OMNI	1
-0.0195	-0.0374	0.0253	0.0073	-0.0038	0.0125	OMNI	1
-0.0243	-0.051	0.0548	0.0133	-0.0072	-0.0149	OMNI	1
0.0026	-0.0141	0.014	0.0047	0.0002	-0.0063	OMNI	1
-0.0258	0.0093	-0.0313	-0.0093	0.1791	-0.0597	OMNI	1
-0.0063	-0.0121	0.0192	0.0092	0.0024	0.0011	OMNI	1
-0.0043	-0.0133	-0.009	-0.0205	-0.004	0.0125	OMNI	1
-0.0198	-0.0263	0.0102	0.0037	0.002	0.0095	OMNI	1
-0.0284	-0.0594	0.0865	0.0406	0.0104	-0.0077	OMNI	1
0.0086	-0.0004	-0.001	-0.0074	0.001	0.0006	OMNI	1
-0.0168	-0.0283	-0.0167	-0.0301	0.0045	0.0338	OMNI	1
-0.0244	-0.0319	0.0212	0.0051	0.0009	0.0005	OMNI	1
-0.0049	-0.0159	0.023	0.0065	-0.0019	0.0013	OMNI	1
-0.0169	-0.0387	0.0335	0.0154	-0.0005	-0.0015	OMNI	1
-0.0195	-0.0389	0.0311	0.0157	-0.0001	0.0021	OMNI	1
-0.0212	-0.0607	0.087	0.0615	0.0155	-0.0027	OMNI	1
-0.0043	-0.0204	0.0164	0.0047	-0.0017	-0.0076	OMNI	1
-0.0799	0.0813	-0.013	0.033	-0.009	0.0053	OMNI	1
-0.0246	-0.0232	0.0054	-0.0078	-0.0056	0.0281	OMNI	1
-0.0192	-0.0353	0.0299	0.0126	0	-0.0029	OMNI	1
0.0192	0.0025	0.0014	-0.0025	0.0035	0.0044	OMNI	1
-0.0216	-0.0377	0.0285	0.0093	0.004	0.0037	OMNI	1
-0.0193	-0.0359	0.0323	0.0096	0.003	-0.0046	OMNI	1
-0.0186	-0.036	0.0328	0.0126	0.003	-0.0085	OMNI	1
-0.0293	-0.0617	0.0713	0.0363	0.0116	-0.0283	OMNI	1
-0.0182	-0.0411	0.0438	0.0206	-0.0008	-0.005	OMNI	1
0.0036	-0.0135	0.0021	0.0072	0.0066	0.0056	OMNI	1
-0.0219	-0.0265	0.0165	0.0032	-0.0039	0.0016	OMNI	1
-0.0256	-0.0271	0.0244	0.0112	0.0002	0.0057	OMNI	1
-0.0037	-0.0089	0.0089	0.0022	0.0004	0.0033	OMNI	1
-0.0172	-0.0316	0.0259	0.0047	0.0006	0.0003	OMNI	1
-0.0149	-0.0316	0.0253	0.015	0.0046	-0.0113	OMNI	1
-0.0188	-0.0361	0.0286	0.0066	0.0012	-0.0007	OMNI	1
-0.0288	0.0051	-0.0084	-0.0125	-0.0083	-0.0169	OMNI	1
-0.0105	-0.0206	0.0079	-0.0052	-0.0134	-0.0209	OMNI	1
-0.0198	-0.0327	0.0272	0.0148	0.0099	-0.0042	OMNI	1
-0.0139	-0.0197	0.0005	-0.0116	-0.0142	-0.0197	OMNI	1
-0.0257	-0.0423	0.0428	0.023	-0.0003	-0.0066	OMNI	1
-0.0022	-0.0122	0.0062	-0.0018	0.0084	0.0059	OMNI	1
-0.0212	-0.0367	0.0322	0.0085	-0.0012	-0.0013	OMNI	1
0.0043	-0.0039	0.017	0.0107	0.0006	0.002	OMNI	1
-0.0222	-0.0305	0.0271	0.0133	0.0011	-0.0014	OMNI	1
-0.0218	-0.0482	0.0427	0.0189	0.0019	-0.0026	OMNI	1
-0.0202	-0.0316	0.023	0.0083	-0.0031	-0.0008	OMNI	1
-0.0162	-0.0351	0.0292	0.0119	0.0051	-0.0048	OMNI	1
-0.0176	-0.008	0.0051	0.0037	0.0062	0.0025	OMNI	1
-0.0202	-0.0319	0.0337	0.0105	0.0018	-0.0021	OMNI	1
0.0005	-0.0072	-0.0093	-0.0227	-0.0131	-0.007	OMNI	1
-0.0201	-0.0339	0.0202	0.0111	-0.0004	0.0062	OMNI	1
-0.022	-0.025	0.0259	0.0064	0.0039	0.0029	OMNI	1
-0.0281	-0.0341	0.0397	0.0207	-0.0013	-0.0059	OMNI	1
-0.0181	-0.0355	0.0275	0.0151	0.0079	0.0027	OMNI	1
-0.0238	-0.0468	0.0405	0.0195	-0.0051	-0.0085	OMNI	1
-0.0156	-0.0221	0.0072	0.0047	-0.0022	0.0043	OMNI	1
-0.0327	0.0045	0.0165	0.0089	-0.0043	-0.0033	OMNI	1
-0.0276	-0.0395	0.0313	0.023	-0.0016	0	OMNI	1
-0.024	-0.0362	0.0316	0.0184	0.0065	-0.0018	OMNI	1
-0.0248	-0.0448	0.0526	0.024	0.0034	-0.0113	OMNI	1
-0.0163	-0.0297	0.019	0.0098	0.0017	0.0022	OMNI	1
-0.0179	-0.0435	0.0422	0.0248	0.0046	-0.0054	OMNI	1
-0.0201	-0.0461	0.0431	0.0246	-0.0043	-0.0047	OMNI	1
-0.0395	0.0126	0.0168	0.0085	-0.002	-0.0009	OMNI	1
0.0029	-0.0184	0.0065	-0.012	0.0266	0.001	OMNI	1
-0.0252	-0.0349	0.0425	0.0163	-0.0013	-0.0049	OMNI	1
-0.0167	-0.0514	0.0535	0.0248	-0.0058	0.0052	OMNI	1
-0.0163	-0.0371	0.0326	0.0176	0.0091	0.0017	OMNI	1
-0.0056	-0.0258	0.0182	0.007	-0.0044	0.0017	OMNI	1
-0.0182	-0.0423	0.0372	0.0223	-0.0008	-0.0038	OMNI	1
-0.0071	-0.0169	-0.0121	-0.0123	0.0149	0.0123	OMNI	1
-0.0071	-0.0193	0.0214	0.0036	0.0029	-0.002	OMNI	1
0.0107	-0.0058	0.0005	0.0075	0.0037	0.0016	OMNI	1
-0.0064	-0.0201	0.0013	-0.0113	-0.0114	-0.0172	OMNI	1
-0.0198	-0.0396	0.033	0.0227	0.0002	0.0002	OMNI	1
-0.0135	-0.0345	0.0299	0.014	0.0034	-0.0048	OMNI	1
-0.0247	-0.049	0.0469	0.0261	-0.0012	-0.0055	OMNI	1
-0.0233	-0.038	0.04	0.0193	0.0012	0.0019	OMNI	1
-0.0264	-0.0456	0.0437	0.0286	0.0049	-0.0037	OMNI	1
-0.0026	-0.0131	0.0224	0.0011	0.0046	0.0018	OMNI	1
-0.0125	-0.026	0.0112	-0.0035	-0.0035	-0.003	OMNI	1
-0.0213	-0.0423	0.039	0.0203	-0.0009	-0.0015	OMNI	1
-0.0144	-0.0313	0.0288	0.0063	0.0008	-0.001	OMNI	1
-0.0213	-0.0445	0.0398	0.0221	0.0018	0.0021	OMNI	1
-0.021	-0.0473	0.0423	0.0196	-0.003	-0.0106	OMNI	1
-0.0181	-0.0424	0.0451	0.0196	0.0026	-0.0031	OMNI	1
0.0054	-0.0018	0.0106	0.0056	-0.0063	0.0182	OMNI	1
-0.0191	-0.0365	0.0272	0.0115	-0.0019	-0.0039	OMNI	1
-0.018	-0.035	0.0293	0.0113	0.0052	0.0001	OMNI	1
-0.0119	-0.0171	-0.0025	-0.014	-0.0111	-0.0283	OMNI	1
-0.0201	-0.0401	0.0405	0.0138	0.0033	-0.0041	OMNI	1
-0.015	-0.0356	0.0231	0.0132	-0.0043	-0.0008	OMNI	1
0.0087	-0.0094	0.0287	0.0057	0.004	0.0127	OMNI	1
-0.0208	-0.031	0.032	0.0155	0.0022	-0.0036	OMNI	1
-0.0223	-0.0511	0.0205	-0.0107	-0.0038	0.0302	OMNI	1
-0.0205	-0.0365	0.0319	0.0156	0.0034	-0.0031	OMNI	1
0.0244	0.0005	-0.006	-0.0354	0.0071	-0.0354	OMNI	1
-0.0146	-0.0395	0.0272	0.0158	0.0017	0.0016	OMNI	1
-0.0024	-0.0152	0.0165	0.0045	0.0023	-0.0033	OMNI	1
-0.0013	-0.0132	0.0181	0.0201	0.0017	-0.0112	OMNI	1
0.0222	0.01	-0.0012	0.0009	0.0004	-0.0009	OMNI	1
-0.0183	-0.0306	0.0173	0.0042	-0.0032	0.004	OMNI	1
0.0015	-0.0116	0.0191	0.0161	0.002	-0.0102	OMNI	1
-0.0191	-0.0291	0.0117	-0.0018	-0.0077	-0.0146	OMNI	1
-0.0203	-0.0356	0.0303	0.0091	0.0052	-0.0037	OMNI	1
-0.0203	-0.0387	0.0334	0.0202	0.0001	-0.0044	OMNI	1
-0.0187	-0.0311	0.0272	0.0046	0.004	-0.0044	OMNI	1
-0.0164	-0.0327	0.021	0.0093	0.0026	0.0035	OMNI	1
-0.0172	-0.0396	0.0371	0.0173	0.0027	-0.0018	OMNI	1
0.0056	-0.0148	0.0175	0.0127	-0.0045	0.0025	OMNI	1
-0.0266	-0.034	0.0288	0.0107	0.0015	-0.0053	OMNI	1
-0.0152	-0.0198	0.0098	0.0034	-0.0033	0.0014	OMNI	1
-0.0135	-0.0365	0.0301	0.019	0.0058	-0.0047	OMNI	1
-0.0246	-0.0358	0.0277	0.0183	0.0004	0.001	OMNI	1
-0.0267	-0.0389	0.037	0.0184	0.0015	-0.0011	OMNI	1
0.0099	-0.0085	0.0065	0.0023	0.0032	0.0099	OMNI	1
-0.0175	-0.033	0.0347	0.0127	0.004	-0.0007	OMNI	1
-0.0222	-0.0379	0.0359	0.023	-0.0034	0.0025	OMNI	1
-0.0254	-0.0375	0.0303	0.0129	0.0009	0.0038	OMNI	1
-0.0206	-0.0462	0.0374	0.0206	0.0018	-0.0078	OMNI	1
-0.0231	-0.0357	0.0312	0.0185	0.0011	-0.0049	OMNI	1
-0.0255	-0.0406	0.0341	0.0223	-0.0015	0.0027	OMNI	1
-0.0205	-0.0259	0.0333	0.0097	0.0058	-0.0002	OMNI	1
-0.0214	-0.038	0.0368	0.0169	-0.0008	-0.0082	OMNI	1
-0.0126	-0.0179	0.0071	-0.0082	-0.0006	-0.004	OMNI	1
-0.019	-0.0447	0.048	0.0255	-0.0013	-0.0064	OMNI	1
-0.0009	-0.0102	0.0207	0.0075	-0.0049	-0.0031	OMNI	1
-0.0197	-0.039	0.036	0.0162	0.0052	-0.0012	OMNI	1
-0.0176	-0.024	0.0083	0.0003	0.003	0.0057	OMNI	1
-0.0155	-0.0247	-0.0018	-0.0134	0.0033	0.0167	OMNI	1
-0.0223	-0.034	0.0143	-0.0035	-0.0007	0.0028	OMNI	1
-0.0196	-0.0337	0.0234	0.0035	-0.0052	0.0033	OMNI	1
-0.0218	-0.0388	0.0437	0.0177	0.0049	-0.0008	OMNI	1
-0.0199	-0.0389	0.0295	0.0076	0.0064	0.0005	OMNI	1
-0.0253	-0.0439	0.0327	0.0186	0.0028	0.0045	OMNI	1
-0.0135	-0.0256	0.0162	0.0055	-0.0054	0.0032	OMNI	1
-0.0197	-0.0347	0.025	0.0157	0.0016	0.0044	OMNI	1
-0.0121	-0.0274	0.0242	0.0041	-0.0092	-0.0103	OMNI	1
-0.0191	-0.0265	0.0222	0.0064	-0.0004	0.0106	OMNI	1
-0.0154	-0.0292	0.0274	0.0093	-0.0025	0.0011	OMNI	1
-0.0252	-0.0406	0.0406	0.0226	0.0063	0.0035	OMNI	1
-0.0246	-0.0436	0.035	0.0153	0.0059	0.0002	OMNI	1
-0.0242	-0.0434	0.0294	0.0133	0.0003	-0.0032	OMNI	1
-0.016	-0.0219	0.0056	-0.0051	0.0009	-0.0097	OMNI	1
-0.0097	-0.0156	0.0052	-0.0083	-0.0057	-0.0052	OMNI	1
-0.0221	-0.0359	0.0327	0.0177	0.0009	-0.0024	OMNI	1
-0.0098	-0.0124	0.0004	-0.008	-0.0018	0.0163	OMNI	1
-0.0177	-0.0328	0.0271	0.0143	0.0001	-0.005	OMNI	1
-0.0204	-0.0431	0.0416	0.0247	0.0002	-0.0042	OMNI	1
-0.0208	-0.0419	0.0344	0.0138	-0.001	-0.0043	OMNI	1
-0.0109	-0.0197	-0.0019	-0.0082	-0.0051	-0.0012	OMNI	1
0.0248	0.0144	0.0047	0.0015	-0.0011	0.0051	OMNI	1
-0.023	-0.0348	0.0425	0.0173	0.0019	0.0011	OMNI	1
-0.0153	-0.0295	-0.029	-0.044	0.0278	0.0594	AFFY	4
-0.0052	-0.0252	-0.0222	-0.0173	-0.0015	0.0153	AFFY	4
-0.016	-0.0168	-0.0129	-0.019	-0.0054	0.0013	AFFY	4
-0.0207	-0.02	-0.0208	-0.033	-0.0172	-0.0005	AFFY	4
0.0006	-0.0082	0.001	-0.0164	-0.0098	-0.0113	AFFY	4
-0.0092	-0.0127	-0.0062	-0.0117	-0.0063	0.0063	AFFY	4
-0.0236	-0.0291	-0.0245	-0.0462	-0.0193	-0.0342	AFFY	4
0.0008	-0.003	-0.0039	-0.0059	-0.0031	0.0122	AFFY	4
-0.0037	0.0003	-0.0271	0.0109	-0.0082	0.0019	AFFY	4
0.0013	-0.0086	0.0043	0.0033	-0.0025	-0.0068	AFFY	4
-0.0203	-0.0185	-0.0218	-0.0327	0.0081	0.0494	AFFY	4
-0.0208	-0.0185	-0.0112	-0.0522	-0.0018	0.0295	AFFY	4
-0.035	0.0013	-0.0207	-0.0106	0.0202	0.0156	AFFY	4
-0.0031	0.0001	-0.0132	-0.007	0.0124	0.0317	AFFY	4
-0.0114	-0.0103	-0.0145	-0.0386	-0.0064	-0.0358	AFFY	4
-0.0151	-0.0056	-0.0112	-0.0163	-0.0121	-0.0102	AFFY	4
-0.0078	-0.0187	-0.0091	-0.0028	0.0056	0.0156	AFFY	4
-0.0319	-0.0019	-0.008	-0.0404	0.0098	0.0045	AFFY	4
0.0132	-0.0003	-0.0009	-0.0022	0.0019	0.0076	AFFY	4
-0.019	-0.0169	0.009	-0.005	-0.001	-0.0025	AFFY	4
0.003	-0.0002	0	-0.0021	0.0033	-0.0017	AFFY	4
-0.0138	-0.0154	-0.0086	-0.0112	0.0015	0.005	AFFY	4
-0.0135	-0.0131	-0.0056	-0.015	-0.0026	0.0051	AFFY	4
-0.0233	-0.024	-0.0161	-0.0397	0.0127	0.0093	AFFY	4
-0.012	-0.0082	-0.0101	-0.0157	-0.0107	-0.0014	AFFY	4
0.0025	-0.0031	-0.0039	-0.0045	-0.0008	0.0022	AFFY	4
-0.0287	-0.0042	-0.0342	0.0191	-0.0072	-0.0016	AFFY	NA
-0.0255	-0.0409	0.0395	0.0247	-0.0049	0.0025	AFFY	NA
0.026	0.0097	0.0009	0.0055	-0.006	0.009	AFFY	NA
0.0113	0.0053	-0.0012	-0.0107	-0.0009	-0.0082	AFFY	NA
-0.0405	-0.0064	-0.0671	-0.006	0.2932	-0.0832	AFFY	NA
0.0306	0.0157	0.0038	0.0091	-0.0015	-0.0064	AFFY	NA
0.0202	0.0097	0.0055	0.0038	0.0017	0.0041	AFFY	NA
0.0095	-0.005	0.0025	0.0067	0.0046	-0.0061	AFFY	NA
-0.0152	-0.0137	-0.0117	-0.0343	-0.0179	-0.0324	AFFY	NA
-0.0016	-0.0119	0.0015	0.0031	0.0072	0	AFFY	NA
0.008	0.0012	0	-0.0021	0.0004	0.0074	AFFY	NA
0.0118	0.0003	0.0047	-0.0295	0.0044	-0.0312	AFFY	NA
-0.0022	-0.0059	-0.0051	-0.017	-0.0061	-0.0149	AFFY	NA
-0.0074	-0.0122	0.0036	-0.0006	-0.0009	0.0066	AFFY	NA
-0.0301	-0.005	-0.0059	0.024	-0.0045	-0.0001	AFFY	NA
0.01	0.0125	0.0008	-0.0033	-0.0012	0.0014	AFFY	NA
0.0187	0.006	-0.0008	0.0008	0.0031	-0.0027	AFFY	NA
-0.0125	-0.0246	0.0108	-0.0158	-0.0131	-0.0175	AFFY	NA
0.0174	0.0049	-0.0036	-0.0027	-0.0025	0.0093	AFFY	NA
-0.0107	-0.0141	-0.0092	-0.0242	-0.0093	-0.0396	AFFY	NA
0.0211	0.01	0.0003	0.0076	-0.0001	-0.0006	AFFY	NA
0.0008	0.001	-0.0023	-0.0142	-0.0108	-0.028	AFFY	NA
0.0187	0.0062	-0.0001	-0.0063	-0.0044	-0.008	AFFY	NA
0.014	0.0039	-0.0022	0.0057	-0.0011	0.0092	AFFY	NA
0.014	0.0105	0.0045	0.0085	0.0027	0.0018	AFFY	NA
0.0195	0.0105	0.0039	0.0063	0.0078	0.0044	AFFY	NA
0.0196	0.0001	0.0013	-0.0041	-0.003	-0.0027	AFFY	NA
-0.0226	-0.0482	0.0479	0.0159	-0.0019	-0.0034	AFFY	NA
-0.0321	-0.0641	0.0651	0.0428	0.0027	0.0106	AFFY	NA
-0.0251	-0.0459	0.0335	0.0162	-0.0163	0.0165	AFFY	NA
0.0037	-0.007	0.0252	0.0105	0.0023	-0.0064	AFFY	NA
0.0197	0.009	-0.0006	0.0033	-0.003	0.0086	AFFY	NA
0.0016	-0.0043	-0.0033	-0.0056	-0.0078	-0.0024	AFFY	NA
-0.0142	-0.0199	-0.0119	-0.031	-0.0138	0.0067	AFFY	NA
0.0194	0.0021	0.0025	0.0026	-0.0018	0.0013	AFFY	NA
-0.003	-0.0094	-0.0136	-0.0338	-0.0181	-0.0395	AFFY	NA
-0.0161	-0.0304	0.0262	0.0088	0.0011	0.0042	AFFY	NA
-0.0135	-0.0152	-0.0161	-0.0281	-0.01	-0.0313	AFFY	NA
-0.023	-0.0389	0.036	0.0176	0.0003	-0.0092	AFFY	NA
-0.0134	-0.0257	0.0237	0.0133	-0.0021	-0.0035	AFFY	NA
-0.01	-0.0158	0.0043	-0.0083	-0.0076	-0.0081	AFFY	NA
0.0037	-0.0016	-0.0015	-0.0068	-0.0126	-0.0154	AFFY	NA
0.0154	0.0123	-0.002	-0.0122	-0.0053	-0.0027	AFFY	NA
0.0225	0.0001	0.0021	-0.0005	-0.0136	-0.0185	AFFY	NA
-0.0033	-0.0008	-0.0097	-0.012	-0.0081	-0.0064	AFFY	NA
-0.0353	0.0052	-0.0291	0.0049	-0.0099	-0.0004	AFFY	NA
0.0177	0.0064	-0.0029	0.0009	0.0049	-0.0004	AFFY	NA
-0.0178	-0.0389	0.0375	0.0192	0.0047	-0.0067	AFFY	NA
-0.0179	-0.0167	-0.0089	-0.0334	-0.0147	-0.028	AFFY	NA
0.002	-0.0017	0.0014	-0.0179	-0.0106	-0.017	AFFY	NA
-0.0217	-0.0396	0.0379	0.0164	0.0011	-0.001	AFFY	NA
-0.0033	-0.0132	0.0276	0.0163	-0.0039	-0.0015	AFFY	NA
0.057	0.0222	0.0012	0.0287	-0.0082	-0.0092	AFFY	NA
0.0147	0.0006	0.0109	-0.0022	-0.0087	-0.0273	AFFY	NA
0.0391	0.018	0.0042	0.0152	-0.0012	0.0046	AFFY	NA
-0.028	-0.0165	-0.032	-0.0538	-0.028	-0.0628	AFFY	NA
-0.0325	-0.0106	-0.0249	-0.0533	-0.0001	0.052	AFFY	NA
-0.0103	-0.0014	-0.0019	0.006	-0.0042	0.0035	AFFY	NA
-0.02	-0.0309	0.0191	0.0071	0.0006	0.0065	AFFY	NA
0.0356	0.0107	0.0032	0.0127	0.0094	-0.0009	AFFY	NA
0.0083	0.002	0.0068	-0.0007	-0.0013	0.0039	AFFY	NA
0.0019	-0.0042	-0.0013	0.0038	0.004	-0.0059	AFFY	NA
-0.0023	-0.0151	0.0046	0.001	-0.0019	0.0025	AFFY	NA
-0.0071	-0.0066	-0.0066	-0.0203	-0.0165	-0.0271	AFFY	NA
0.0357	0.0193	0.0006	0.0071	0.0002	-0.0038	AFFY	NA
0.0112	0.01	0.0046	-0.0061	-0.001	-0.0036	AFFY	NA
0.0059	0.0083	-0.0076	-0.0029	-0.0005	0.0072	AFFY	4
